Year,County,Hospital,OSHPD ID,Performance Measure,# of Cases,# of Adverse Events,Risk-adjusted Rate,Performance Rating,Longitude,Latitude
2013,Riverside,Desert Regional Medical Center,106331164,CABG Operative Mortality ,103,2,2.15,Average,-116.55,33.84
2013,Riverside,Desert Regional Medical Center,106331164,Post-Operative Stroke ,201,1,0.56,Average,-116.55,33.84
2013,Riverside,Desert Regional Medical Center,106331164,Post-Operative Stroke ,201,1,0.56,Average,-116.55,33.84
2012,Riverside,Desert Regional Medical Center,106331164,30-day Readmission ,93,15,17.13,Average,-116.54549,33.83932
2012,Riverside,Desert Regional Medical Center,106331164,Operative Mortality ,98,4,3.21,Average,-116.54549,33.83932
2017-2018,Riverside,Eisenhower Medical Center,106331168,CABG + Valve Operative Mortality,47,3,6.31,Average,-116.41,33.76
2017-2018,Riverside,Eisenhower Medical Center,106331168,CABG 30-Day Readmission,223,30,15.01,Average,-116.41,33.76
2017-2018,Riverside,Eisenhower Medical Center,106331168,Post-Operative Stroke,246,1,0.47,Average,-116.41,33.76
2016-2017,Riverside,Eisenhower Medical Center,106331168,CABG + Valve Operative Mortality,58,0,0.00,Average,-116.41,33.76
2016-2017,Riverside,Eisenhower Medical Center,106331168,Post-Operative Stroke,259,2,0.83,Average,-116.41,33.76
2014-2015,Riverside,Eisenhower Medical Center,106331168,30-Day Readmission,272,35,12.24,Average,-116.41,33.76
2014-2015,Riverside,Eisenhower Medical Center,106331168,CABG + Valve Operative Mortality,27,0,0,Average,-116.41,33.76
2014-2015,Riverside,Eisenhower Medical Center,106331168,Post-Operative Stroke ,309,4,1.19,Average,-116.41,33.76
2013-2014,Riverside,Eisenhower Medical Center,106331168,CABG + Valve Operative Mortality,49,0,0,Better,-116.41,33.76
2013-2014,Riverside,Eisenhower Medical Center,106331168,Post-Operative Stroke ,254,3,1.13,Average,-116.41,33.76
2011-2012,Riverside,Eisenhower Medical Center,106331168,Post-Operative Stroke ,305,3,1.01,Average,-116.40808,33.76418
2018,Riverside,Eisenhower Medical Center,106331168,CABG Operative Mortality,111,2,2.05,Average,-116.41,33.76
2017,Riverside,Eisenhower Medical Center,106331168,CABG Operative Mortality,135,1,0.87,Average,-116.41,33.76
2015,Riverside,Eisenhower Medical Center,106331168,CABG Operative Mortality ,187,5,2.18,Average,-116.41,33.76
2014,Riverside,Eisenhower Medical Center,106331168,CABG Operative Mortality ,122,0,0,Average,-116.41,33.76
2013,Riverside,Eisenhower Medical Center,106331168,30-day Readmission ,119,16,12.14,Average,-116.41,33.76
2013,Riverside,Eisenhower Medical Center,106331168,30-day Readmission ,119,16,12.14,Average,-116.41,33.76
2013,Riverside,Eisenhower Medical Center,106331168,CABG + Valve Operative Mortality,44,1,1.99,Average,-116.41,33.76
2013,Riverside,Eisenhower Medical Center,106331168,CABG + Valve Operative Mortality,44,1,1.99,Average,-116.41,33.76
2013,Riverside,Eisenhower Medical Center,106331168,CABG Operative Mortality ,132,3,1.61,Average,-116.41,33.76
2013,Riverside,Eisenhower Medical Center,106331168,CABG Operative Mortality ,132,3,1.61,Average,-116.41,33.76
2013,Riverside,Eisenhower Medical Center,106331168,Post-Operative Stroke ,277,1,0.35,Average,-116.41,33.76
2013,Riverside,Eisenhower Medical Center,106331168,Post-Operative Stroke ,277,1,0.35,Average,-116.41,33.76
2012,Riverside,Eisenhower Medical Center,106331168,30-day Readmission ,131,19,14.8,Average,-116.40808,33.76418
2012,Riverside,Eisenhower Medical Center,106331168,Operative Mortality ,145,3,1.75,Average,-116.40808,33.76418
2015-2016,Riverside,Eisenhower MedicalCenter,106331168,CABG + Valve Operative Mortality,40,0,0.00,Average,-116.41,33.76
2015-2016,Riverside,Eisenhower MedicalCenter,106331168,CABG 30-Day Readmission,273,40,12.25,Average,-116.41,33.76
2015-2016,Riverside,Eisenhower MedicalCenter,106331168,Post-Operative Stroke,311,2,0.67,Average,-116.41,33.76
2016,Riverside,Eisenhower MedicalCenter,106331168,CABG Operative Mortality,124,4,3.52,Average,-116.41,33.76
2011-2012,Riverside,Loma Linda Murrieta*,106334589,Post-Operative Stroke ,44,0,0,Average,-117.16244,33.6122263
2012,Riverside,Loma Linda Murrieta*,106334589,30-day Readmission ,9,,,N/A,-117.16244,33.6122263
2012,Riverside,Loma Linda Murrieta*,106334589,Operative Mortality ,44,,,N/A,-117.16244,33.6122263
2015,Riverside,Loma Linda University Medical Center -  Murrieta,106334589,CABG Operative Mortality ,125,4,2.99,Average,-117.16,33.61
2017-2018,Riverside,Loma Linda University Medical Center - Murrieta,106334589,CABG + Valve Operative Mortality,11,0,0.00,Average,-117.16,33.61
2017-2018,Riverside,Loma Linda University Medical Center - Murrieta,106334589,CABG 30-Day Readmission,171,20,12.87,Average,-117.16,33.61
2017-2018,Riverside,Loma Linda University Medical Center - Murrieta,106334589,Post-Operative Stroke,192,5,3.43,Average,-117.16,33.61
2016-2017,Riverside,Loma Linda University Medical Center - Murrieta,106334589,CABG + Valve Operative Mortality,10,0,0.00,Average,-117.16,33.61
2016-2017,Riverside,Loma Linda University Medical Center - Murrieta,106334589,Post-Operative Stroke,185,2,1.36,Average,-117.16,33.61
2015-2016,Riverside,Loma Linda University Medical Center - Murrieta,106334589,CABG + Valve Operative Mortality,21,0,0.00,Average,-117.16,33.61
2015-2016,Riverside,Loma Linda University Medical Center - Murrieta,106334589,CABG 30-Day Readmission,212,26,12.86,Average,-117.16,33.61
2015-2016,Riverside,Loma Linda University Medical Center - Murrieta,106334589,Post-Operative Stroke,233,3,1.43,Average,-117.16,33.61
2014-2015,Riverside,Loma Linda University Medical Center - Murrieta,106334589,30-Day Readmission,215,22,10.13,Average,-117.16,33.61
2014-2015,Riverside,Loma Linda University Medical Center - Murrieta,106334589,CABG + Valve Operative Mortality,20,0,0,Average,-117.16,33.61
2014-2015,Riverside,Loma Linda University Medical Center - Murrieta,106334589,Post-Operative Stroke ,240,4,1.54,Average,-117.16,33.61
2018,Riverside,Loma Linda University Medical Center - Murrieta,106334589,CABG Operative Mortality,116,3,4.03,Average,-117.16,33.61
2017,Riverside,Loma Linda University Medical Center - Murrieta,106334589,CABG Operative Mortality,77,1,1.96,Average,-117.16,33.61
2016,Riverside,Loma Linda University Medical Center - Murrieta,106334589,CABG Operative Mortality,108,2,1.53,Average,-117.16,33.61
2013,Riverside,Loma Linda University Medical Center - Murrieta,106334589,30-day Readmission ,73,6,8.57,Average,-117.16,33.61
2013,Riverside,Loma Linda University Medical Center - Murrieta,106334589,30-day Readmission ,73,6,8.57,Average,-117.16,33.61
2013,Riverside,Loma Linda University Medical Center - Murrieta,106334589,CABG + Valve Operative Mortality,10,0,0,Average,-117.16,33.61
2013,Riverside,Loma Linda University Medical Center - Murrieta,106334589,CABG + Valve Operative Mortality,10,0,0,Average,-117.16,33.61
2013,Riverside,Loma Linda University Medical Center - Murrieta,106334589,CABG Operative Mortality ,95,1,0.76,Average,-117.16,33.61
2013,Riverside,Loma Linda University Medical Center - Murrieta,106334589,CABG Operative Mortality ,95,1,0.76,Average,-117.16,33.61
2013,Riverside,Loma Linda University Medical Center - Murrieta,106334589,Post-Operative Stroke ,139,0,0,Average,-117.16,33.61
2013,Riverside,Loma Linda University Medical Center - Murrieta,106334589,Post-Operative Stroke ,139,0,0,Average,-117.16,33.61
2013-2014,Riverside,Loma Linda University Medical Center – Murrieta,106334589,CABG + Valve Operative Mortality,12,0,0,Average,-117.16,33.61
2013-2014,Riverside,Loma Linda University Medical Center – Murrieta,106334589,Post-Operative Stroke ,210,2,0.87,Average,-117.16,33.61
2014,Riverside,Loma Linda University Medical Center – Murrieta,106334589,CABG Operative Mortality ,115,1,0.77,Average,-117.16,33.61
2017-2018,Riverside,Riverside Community Hospital,106331312,CABG + Valve Operative Mortality,34,3,5.98,Average,-117.38,33.98
2017-2018,Riverside,Riverside Community Hospital,106331312,CABG 30-Day Readmission,326,45,12.16,Average,-117.38,33.98
2017-2018,Riverside,Riverside Community Hospital,106331312,Post-Operative Stroke,394,1,0.21,Better,-117.38,33.98
2016-2017,Riverside,Riverside Community Hospital,106331312,CABG + Valve Operative Mortality,46,3,6.15,Average,-117.38,33.98
2016-2017,Riverside,Riverside Community Hospital,106331312,Post-Operative Stroke,372,3,0.66,Average,-117.38,33.98
2015-2016,Riverside,Riverside Community Hospital,106331312,CABG + Valve Operative Mortality,47,0,0.00,Average,-117.38,33.98
2015-2016,Riverside,Riverside Community Hospital,106331312,CABG 30-Day Readmission,266,38,13.67,Average,-117.38,33.98
2015-2016,Riverside,Riverside Community Hospital,106331312,Post-Operative Stroke,319,3,0.88,Average,-117.38,33.98
2014-2015,Riverside,Riverside Community Hospital,106331312,30-Day Readmission,278,39,14.37,Average,-117.38,33.98
2014-2015,Riverside,Riverside Community Hospital,106331312,CABG + Valve Operative Mortality,44,1,2.63,Average,-117.38,33.98
2014-2015,Riverside,Riverside Community Hospital,106331312,Post-Operative Stroke ,318,2,0.62,Average,-117.38,33.98
2013-2014,Riverside,Riverside Community Hospital,106331312,CABG + Valve Operative Mortality,66,1,1.72,Average,-117.38,33.98
2013-2014,Riverside,Riverside Community Hospital,106331312,Post-Operative Stroke ,322,5,1.58,Average,-117.38,33.98
2011-2012,Riverside,Riverside Community Hospital,106331312,Post-Operative Stroke ,357,3,0.87,Average,-117.37997,33.97641
2018,Riverside,Riverside Community Hospital,106331312,CABG Operative Mortality,185,8,2.87,Average,-117.38,33.98
2017,Riverside,Riverside Community Hospital,106331312,CABG Operative Mortality,209,3,1.19,Average,-117.38,33.98
2016,Riverside,Riverside Community Hospital,106331312,CABG Operative Mortality,163,2,1.00,Average,-117.38,33.98
2015,Riverside,Riverside Community Hospital,106331312,CABG Operative Mortality ,156,2,1.23,Average,-117.38,33.98
2014,Riverside,Riverside Community Hospital,106331312,CABG Operative Mortality ,162,2,1.3,Average,-117.38,33.98
2013,Riverside,Riverside Community Hospital,106331312,30-day Readmission ,142,20,15.36,Average,-117.38,33.98
2013,Riverside,Riverside Community Hospital,106331312,30-day Readmission ,142,20,15.36,Average,-117.38,33.98
2013,Riverside,Riverside Community Hospital,106331312,CABG + Valve Operative Mortality,65,0,0,Average,-117.38,33.98
2013,Riverside,Riverside Community Hospital,106331312,CABG + Valve Operative Mortality,65,0,0,Average,-117.38,33.98
2013,Riverside,Riverside Community Hospital,106331312,CABG Operative Mortality ,160,7,4.03,Average,-117.38,33.98
2013,Riverside,Riverside Community Hospital,106331312,CABG Operative Mortality ,160,7,4.03,Average,-117.38,33.98
2013,Riverside,Riverside Community Hospital,106331312,Post-Operative Stroke ,359,4,1.15,Average,-117.38,33.98
2013,Riverside,Riverside Community Hospital,106331312,Post-Operative Stroke ,359,4,1.15,Average,-117.38,33.98
2012,Riverside,Riverside Community Hospital,106331312,30-day Readmission ,185,21,12.04,Average,-117.37997,33.97641
2012,Riverside,Riverside Community Hospital,106331312,Operative Mortality ,199,3,1.35,Average,-117.37997,33.97641
2017-2018,Riverside,Temecula Valley Hospital,106334564,CABG + Valve Operative Mortality,10,1,19.40,Average,-117.1,33.48
2017-2018,Riverside,Temecula Valley Hospital,106334564,CABG 30-Day Readmission,168,26,15.35,Average,-117.1,33.48
2017-2018,Riverside,Temecula Valley Hospital,106334564,Post-Operative Stroke,201,1,0.53,Average,-117.1,33.48
2016-2017,Riverside,Temecula Valley Hospital,106334564,CABG + Valve Operative Mortality,15,2,19.74,Average,-117.1,33.48
2016-2017,Riverside,Temecula Valley Hospital,106334564,Post-Operative Stroke,212,0,0.00,Average,-117.1,33.48
2015-2016,Riverside,Temecula Valley Hospital,106334564,CABG + Valve Operative Mortality,12,2,25.89,Average,-117.1,33.48
2015-2016,Riverside,Temecula Valley Hospital,106334564,CABG 30-Day Readmission,132,22,16.70,Average,-117.1,33.48
2015-2016,Riverside,Temecula Valley Hospital,106334564,Post-Operative Stroke,151,0,0.00,Average,-117.1,33.48
2014-2015,Riverside,Temecula Valley Hospital,106334564,30-Day Readmission,57,11,16.57,Average,-117.1048018,33.4795943
2014-2015,Riverside,Temecula Valley Hospital,106334564,CABG + Valve Operative Mortality,5,1,25.83,Average,-117.1048018,33.4795943
2014-2015,Riverside,Temecula Valley Hospital,106334564,Post-Operative Stroke ,65,0,0,Average,-117.1048018,33.4795943
2013-2014,Riverside,Temecula Valley Hospital,106334564,CABG + Valve Operative Mortality,.,.,.,NA,-117.1,33.48
2013-2014,Riverside,Temecula Valley Hospital,106334564,Post-Operative Stroke ,15,0,0,Average,-117.1,33.48
2018,Riverside,Temecula Valley Hospital,106334564,CABG Operative Mortality,90,1,1.10,Average,-117.1,33.48
2017,Riverside,Temecula Valley Hospital,106334564,CABG Operative Mortality,111,2,2.24,Average,-117.1,33.48
2016,Riverside,Temecula Valley Hospital,106334564,CABG Operative Mortality,101,2,2.29,Average,-117.1,33.48
2015,Riverside,Temecula Valley Hospital,106334564,CABG Operative Mortality ,50,2,4.38,Average,-117.1048018,33.4795943
2014,Riverside,Temecula Valley Hospital,106334564,CABG Operative Mortality ,15,0,0,Average,-117.1,33.48
2017-2018,Sacramento,Mercy General Hospital,106340947,CABG + Valve Operative Mortality,272,10,3.45,Average,-121.45,38.57
2017-2018,Sacramento,Mercy General Hospital,106340947,CABG 30-Day Readmission,919,82,9.30,Average,-121.45,38.57
2017-2018,Sacramento,Mercy General Hospital,106340947,Post-Operative Stroke,1038,13,1.46,Average,-121.45,38.57
2016-2017,Sacramento,Mercy General Hospital,106340947,CABG + Valve Operative Mortality,287,10,4.14,Average,-121.45,38.57
2016-2017,Sacramento,Mercy General Hospital,106340947,Post-Operative Stroke,"1,088",12,1.16,Average,-121.45,38.57
2015-2016,Sacramento,Mercy General Hospital,106340947,CABG + Valve Operative Mortality,260,12,5.24,Average,-121.45,38.57
2015-2016,Sacramento,Mercy General Hospital,106340947,CABG 30-Day Readmission,880,68,7.76,Better,-121.45,38.57
2015-2016,Sacramento,Mercy General Hospital,106340947,Post-Operative Stroke,1003,17,1.67,Average,-121.45,38.57
2014-2015,Sacramento,Mercy General Hospital,106340947,30-Day Readmission,780,68,8.54,Better,-121.45,38.57
2014-2015,Sacramento,Mercy General Hospital,106340947,CABG + Valve Operative Mortality,308,10,3.76,Average,-121.45,38.57
2014-2015,Sacramento,Mercy General Hospital,106340947,Post-Operative Stroke ,870,14,1.67,Average,-121.45,38.57
2013-2014,Sacramento,Mercy General Hospital,106340947,CABG + Valve Operative Mortality,376,10,2.93,Better,-121.45,38.57
2013-2014,Sacramento,Mercy General Hospital,106340947,Post-Operative Stroke ,849,10,1.21,Average,-121.45,38.57
2011-2012,Sacramento,Mercy General Hospital,106340947,Post-Operative Stroke ,990,19,2.11,Average,-121.45271,38.56955
2018,Sacramento,Mercy General Hospital,106340947,CABG Operative Mortality,496,5,1.24,Average,-121.45,38.57
2017,Sacramento,Mercy General Hospital,106340947,CABG Operative Mortality,542,4,0.88,Average,-121.45,38.57
2016,Sacramento,Mercy General Hospital,106340947,CABG Operative Mortality,546,3,0.58,Better,-121.45,38.57
2015,Sacramento,Mercy General Hospital,106340947,CABG Operative Mortality ,457,5,0.99,Better,-121.45,38.57
2014,Sacramento,Mercy General Hospital,106340947,CABG Operative Mortality ,413,3,0.8,Average,-121.45,38.57
2013,Sacramento,Mercy General Hospital,106340947,30-day Readmission ,393,33,8.49,Average,-121.45,38.57
2013,Sacramento,Mercy General Hospital,106340947,30-day Readmission ,393,33,8.49,Average,-121.45,38.57
2013,Sacramento,Mercy General Hospital,106340947,CABG + Valve Operative Mortality,333,14,3.97,Average,-121.45,38.57
2013,Sacramento,Mercy General Hospital,106340947,CABG + Valve Operative Mortality,333,14,3.97,Average,-121.45,38.57
2013,Sacramento,Mercy General Hospital,106340947,CABG Operative Mortality ,436,6,1.39,Average,-121.45,38.57
2013,Sacramento,Mercy General Hospital,106340947,CABG Operative Mortality ,436,6,1.39,Average,-121.45,38.57
2013,Sacramento,Mercy General Hospital,106340947,Post-Operative Stroke ,887,15,1.77,Average,-121.45,38.57
2013,Sacramento,Mercy General Hospital,106340947,Post-Operative Stroke ,887,15,1.77,Average,-121.45,38.57
2012,Sacramento,Mercy General Hospital,106340947,30-day Readmission ,400,45,11.5,Average,-121.45271,38.56955
2012,Sacramento,Mercy General Hospital,106340947,Operative Mortality ,451,9,2.27,Average,-121.45271,38.56955
2017-2018,Sacramento,Mercy San Juan Hospital,106340950,CABG + Valve Operative Mortality,48,3,5.76,Average,-121.31,38.67
2017-2018,Sacramento,Mercy San Juan Hospital,106340950,CABG 30-Day Readmission,152,13,9.67,Average,-121.31,38.67
2017-2018,Sacramento,Mercy San Juan Hospital,106340950,Post-Operative Stroke,159,3,2.26,Average,-121.31,38.67
2016-2017,Sacramento,Mercy San Juan Hospital,106340950,CABG + Valve Operative Mortality,58,5,6.87,Average,-121.31,38.67
2016-2017,Sacramento,Mercy San Juan Hospital,106340950,Post-Operative Stroke,172,4,2.65,Average,-121.31,38.67
2015-2016,Sacramento,Mercy San Juan Hospital,106340950,CABG + Valve Operative Mortality,56,4,8.32,Average,-121.31,38.67
2015-2016,Sacramento,Mercy San Juan Hospital,106340950,CABG 30-Day Readmission,152,20,13.44,Average,-121.31,38.67
2015-2016,Sacramento,Mercy San Juan Hospital,106340950,Post-Operative Stroke,162,1,0.67,Average,-121.31,38.67
2014-2015,Sacramento,Mercy San Juan Hospital,106340950,30-Day Readmission,146,19,13.2,Average,-121.31,38.67
2014-2015,Sacramento,Mercy San Juan Hospital,106340950,CABG + Valve Operative Mortality,42,0,0,Average,-121.31,38.67
2014-2015,Sacramento,Mercy San Juan Hospital,106340950,Post-Operative Stroke ,157,2,1.43,Average,-121.31,38.67
2013-2014,Sacramento,Mercy San Juan Hospital,106340950,CABG + Valve Operative Mortality,51,2,4.18,Average,-121.31,38.67
2013-2014,Sacramento,Mercy San Juan Hospital,106340950,Post-Operative Stroke ,165,2,1.37,Average,-121.31,38.67
2011-2012,Sacramento,Mercy San Juan Hospital,106340950,Post-Operative Stroke ,242,2,1.04,Average,-121.31261,38.66818
2018,Sacramento,Mercy San Juan Hospital,106340950,CABG Operative Mortality,77,0,0.00,Average,-121.31,38.67
2017,Sacramento,Mercy San Juan Hospital,106340950,CABG Operative Mortality,82,0,0.00,Average,-121.31,38.67
2016,Sacramento,Mercy San Juan Hospital,106340950,CABG Operative Mortality,90,0,0.00,Average,-121.31,38.67
2015,Sacramento,Mercy San Juan Hospital,106340950,CABG Operative Mortality ,72,0,0,Average,-121.31,38.67
2014,Sacramento,Mercy San Juan Hospital,106340950,CABG Operative Mortality ,85,1,1.33,Average,-121.31,38.67
2013,Sacramento,Mercy San Juan Hospital,106340950,30-day Readmission ,74,11,14.98,Average,-121.31,38.67
2013,Sacramento,Mercy San Juan Hospital,106340950,30-day Readmission ,74,11,14.98,Average,-121.31,38.67
2013,Sacramento,Mercy San Juan Hospital,106340950,CABG + Valve Operative Mortality,59,4,6.32,Average,-121.31,38.67
2013,Sacramento,Mercy San Juan Hospital,106340950,CABG + Valve Operative Mortality,59,4,6.32,Average,-121.31,38.67
2013,Sacramento,Mercy San Juan Hospital,106340950,CABG Operative Mortality ,80,2,2.41,Average,-121.31,38.67
2013,Sacramento,Mercy San Juan Hospital,106340950,CABG Operative Mortality ,80,2,2.41,Average,-121.31,38.67
2013,Sacramento,Mercy San Juan Hospital,106340950,Post-Operative Stroke ,194,1,0.58,Average,-121.31,38.67
2013,Sacramento,Mercy San Juan Hospital,106340950,Post-Operative Stroke ,194,1,0.58,Average,-121.31,38.67
2012,Sacramento,Mercy San Juan Hospital,106340950,30-day Readmission ,108,8,7.38,Average,-121.31261,38.66818
2012,Sacramento,Mercy San Juan Hospital,106340950,Operative Mortality ,114,0,0,Average,-121.31261,38.66818
2017-2018,Sacramento,"Sutter Medical Center, Sacramento",106341051,CABG + Valve Operative Mortality,220,10,4.69,Average,-121.44,38.57
2017-2018,Sacramento,"Sutter Medical Center, Sacramento",106341051,CABG 30-Day Readmission,627,61,10.64,Average,-121.44,38.57
2017-2018,Sacramento,"Sutter Medical Center, Sacramento",106341051,Post-Operative Stroke,684,12,2.03,Average,-121.44,38.57
2016-2017,Sacramento,"Sutter Medical Center, Sacramento",106341051,CABG + Valve Operative Mortality,225,10,4.92,Average,-121.44,38.57
2016-2017,Sacramento,"Sutter Medical Center, Sacramento",106341051,Post-Operative Stroke,671,12,1.74,Average,-121.44,38.57
2015-2016,Sacramento,"Sutter Medical Center, Sacramento",106341052,CABG + Valve Operative Mortality,213,10,4.58,Average,-121.44,38.57
2015-2016,Sacramento,"Sutter Medical Center, Sacramento",106341052,CABG 30-Day Readmission,557,47,8.87,Average,-121.44,38.57
2015-2016,Sacramento,"Sutter Medical Center, Sacramento",106341052,Post-Operative Stroke,633,9,1.33,Average,-121.44,38.57
2018,Sacramento,"Sutter Medical Center, Sacramento",106341051,CABG Operative Mortality,351,3,1.05,Average,-121.44,38.57
2017,Sacramento,"Sutter Medical Center, Sacramento",106341051,CABG Operative Mortality,333,6,1.97,Average,-121.44,38.57
2016,Sacramento,"Sutter Medical Center, Sacramento",106341052,CABG Operative Mortality,338,8,1.93,Average,-121.44,38.57
2014-2015,Sacramento,Sutter Memorial Hospital,106341052,30-Day Readmission,540,54,10.54,Average,-121.44,38.57
2014-2015,Sacramento,Sutter Memorial Hospital,106341052,CABG + Valve Operative Mortality,201,8,3.28,Average,-121.44,38.57
2014-2015,Sacramento,Sutter Memorial Hospital,106341052,Post-Operative Stroke ,610,7,1.16,Average,-121.44,38.57
2013-2014,Sacramento,Sutter Memorial Hospital,106341052,CABG + Valve Operative Mortality,198,13,5.88,Average,-121.44,38.57
2013-2014,Sacramento,Sutter Memorial Hospital,106341052,Post-Operative Stroke ,646,7,1.17,Average,-121.44,38.57
2011-2012,Sacramento,Sutter Memorial Hospital,106341052,Post-Operative Stroke ,638,2,0.36,Better,-121.43948,38.57071
2015,Sacramento,Sutter Memorial Hospital,106341052,CABG Operative Mortality ,295,5,1.36,Average,-121.44,38.57
2014,Sacramento,Sutter Memorial Hospital,106341052,CABG Operative Mortality ,315,2,0.64,Average,-121.44,38.57
2013,Sacramento,Sutter Memorial Hospital,106341052,30-day Readmission ,307,27,9.24,Average,-121.44,38.57
2013,Sacramento,Sutter Memorial Hospital,106341052,30-day Readmission ,307,27,9.24,Average,-121.44,38.57
2013,Sacramento,Sutter Memorial Hospital,106341052,CABG + Valve Operative Mortality,188,12,5.92,Average,-121.44,38.57
2013,Sacramento,Sutter Memorial Hospital,106341052,CABG + Valve Operative Mortality,188,12,5.92,Average,-121.44,38.57
2013,Sacramento,Sutter Memorial Hospital,106341052,CABG Operative Mortality ,331,4,1.28,Average,-121.44,38.57
2013,Sacramento,Sutter Memorial Hospital,106341052,CABG Operative Mortality ,331,4,1.28,Average,-121.44,38.57
2013,Sacramento,Sutter Memorial Hospital,106341052,Post-Operative Stroke ,655,4,0.67,Average,-121.44,38.57
2013,Sacramento,Sutter Memorial Hospital,106341052,Post-Operative Stroke ,655,4,0.67,Average,-121.44,38.57
2012,Sacramento,Sutter Memorial Hospital,106341052,30-day Readmission ,286,29,10.26,Average,-121.43948,38.57071
2012,Sacramento,Sutter Memorial Hospital,106341052,Operative Mortality ,324,4,1.19,Average,-121.43948,38.57071
2017-2018,Sacramento,UC Davis Medical Center,106341006,CABG + Valve Operative Mortality,23,2,9.71,Average,-121.46,38.55
2017-2018,Sacramento,UC Davis Medical Center,106341006,CABG 30-Day Readmission,139,15,11.40,Average,-121.46,38.55
2017-2018,Sacramento,UC Davis Medical Center,106341006,Post-Operative Stroke,151,1,0.78,Average,-121.46,38.55
2016-2017,Sacramento,UC Davis Medical Center,106341006,CABG + Valve Operative Mortality,22,1,5.90,Average,-121.46,38.55
2016-2017,Sacramento,UC Davis Medical Center,106341006,Post-Operative Stroke,156,0,0.00,Average,-121.46,38.55
2015-2016,Sacramento,UC Davis Medical Center,106341006,CABG + Valve Operative Mortality,35,3,11.66,Average,-121.46,38.55
2015-2016,Sacramento,UC Davis Medical Center,106341006,CABG 30-Day Readmission,140,11,8.22,Average,-121.46,38.55
2015-2016,Sacramento,UC Davis Medical Center,106341006,Post-Operative Stroke,164,3,2.09,Average,-121.46,38.55
2013-2014,Sacramento,UC Davis Medical Center,106341006,CABG + Valve Operative Mortality,65,7,10.59,Average,-121.46,38.55
2013-2014,Sacramento,UC Davis Medical Center,106341006,Post-Operative Stroke ,196,5,3.02,Average,-121.46,38.55
2011-2012,Sacramento,UC Davis Medical Center,106341006,Post-Operative Stroke ,202,3,1.7,Average,-121.45738,38.55438
2018,Sacramento,UC Davis Medical Center,106341006,CABG Operative Mortality,62,1,2.48,Average,-121.46,38.55
2017,Sacramento,UC Davis Medical Center,106341006,CABG Operative Mortality,89,1,1.03,Average,-121.46,38.55
2016,Sacramento,UC Davis Medical Center,106341006,CABG Operative Mortality,67,4,10.61,Worse,-121.46,38.55
2014,Sacramento,UC Davis Medical Center,106341006,CABG Operative Mortality ,80,2,3.84,Average,-121.46,38.55
2013,Sacramento,UC Davis Medical Center,106341006,30-day Readmission ,101,8,8.39,Average,-121.46,38.55
2013,Sacramento,UC Davis Medical Center,106341006,30-day Readmission ,101,8,8.39,Average,-121.46,38.55
2013,Sacramento,UC Davis Medical Center,106341006,CABG + Valve Operative Mortality,61,4,6.8,Average,-121.46,38.55
2013,Sacramento,UC Davis Medical Center,106341006,CABG + Valve Operative Mortality,61,4,6.8,Average,-121.46,38.55
2013,Sacramento,UC Davis Medical Center,106341006,CABG Operative Mortality ,116,4,3.9,Average,-121.46,38.55
2013,Sacramento,UC Davis Medical Center,106341006,CABG Operative Mortality ,116,4,3.9,Average,-121.46,38.55
2013,Sacramento,UC Davis Medical Center,106341006,Post-Operative Stroke ,221,5,2.65,Average,-121.46,38.55
2013,Sacramento,UC Davis Medical Center,106341006,Post-Operative Stroke ,221,5,2.65,Average,-121.46,38.55
2012,Sacramento,UC Davis Medical Center,106341006,30-day Readmission ,97,14,14.62,Average,-121.45738,38.55438
2012,Sacramento,UC Davis Medical Center,106341006,Operative Mortality ,105,2,2.79,Average,-121.45738,38.55438
2014-2015,Sacramento,UC Davis Medical Center ,106341006,30-Day Readmission,154,17,11.71,Average,-121.46,38.55
2014-2015,Sacramento,UC Davis Medical Center ,106341006,CABG + Valve Operative Mortality,54,6,13.99,Average,-121.46,38.55
2014-2015,Sacramento,UC Davis Medical Center ,106341006,Post-Operative Stroke ,177,5,3.46,Average,-121.46,38.55
2015,Sacramento,UC Davis Medical Center ,106341006,CABG Operative Mortality ,97,3,3.3,Average,-121.46,38.55
2017-2018,San Bernardino,Desert Valley Hospital,106364144,CABG + Valve Operative Mortality,5,1,27.38,Average,-117.3,34.47
2017-2018,San Bernardino,Desert Valley Hospital,106364144,CABG 30-Day Readmission,54,9,14.76,Average,-117.3,34.47
2017-2018,San Bernardino,Desert Valley Hospital,106364144,Post-Operative Stroke,64,4,5.60,Average,-117.3,34.47
2016-2017,San Bernardino,Desert Valley Hospital,106364144,CABG + Valve Operative Mortality,3,0,0.00,Average,-117.3,34.47
2016-2017,San Bernardino,Desert Valley Hospital,106364144,Post-Operative Stroke,67,2,3.08,Average,-117.3,34.47
2015-2016,San Bernardino,Desert Valley Hospital,106364144,CABG + Valve Operative Mortality,1,0,0.00,Average,-117.3,34.47
2015-2016,San Bernardino,Desert Valley Hospital,106364144,CABG 30-Day Readmission,51,8,16.70,Average,-117.3,34.47
2015-2016,San Bernardino,Desert Valley Hospital,106364144,Post-Operative Stroke,56,0,0.00,Average,-117.3,34.47
2014-2015,San Bernardino,Desert Valley Hospital,106364144,30-Day Readmission,56,7,10.84,Average,-117.3,34.47
